1 : Stock
2 : Waste => Table 1
3 : Waste => Table 2
4 : Waste => Table 3
5 : Waste => Table 4
6 : Waste => Table 5
7 : Waste => Table 6
8 : Waste => Table 7
9 : Foundation 1 => Table 1
10 : Foundation 1 => Table 2
11 : Foundation 1 => Table 3
12 : Foundation 1 => Table 4
13 : Foundation 1 => Table 5
14 : Foundation 1 => Table 6
15 : Foundation 1 => Table 7
16 : Foundation 2 => Table 1
17 : Foundation 2 => Table 2
18 : Foundation 2 => Table 3
19 : Foundation 2 => Table 4
20 : Foundation 2 => Table 5
21 : Foundation 2 => Table 6
22 : Foundation 2 => Table 7
23 : Foundation 3 => Table 1
24 : Foundation 3 => Table 2
25 : Foundation 3 => Table 3
26 : Foundation 3 => Table 4
27 : Foundation 3 => Table 5
28 : Foundation 3 => Table 6
29 : Foundation 3 => Table 7
30 : Foundation 4 => Table 1
31 : Foundation 4 => Table 2
32 : Foundation 4 => Table 3
33 : Foundation 4 => Table 4
34 : Foundation 4 => Table 5
35 : Foundation 4 => Table 6
36 : Foundation 4 => Table 7
37 : Table 1 (0) => Table 2
38 : Table 1 (1) => Table 2
39 : Table 1 (2) => Table 2
40 : Table 1 (3) => Table 2
41 : Table 1 (4) => Table 2
42 : Table 1 (5) => Table 2
43 : Table 1 (6) => Table 2
44 : Table 1 (7) => Table 2
45 : Table 1 (8) => Table 2
46 : Table 1 (9) => Table 2
47 : Table 1 (10) => Table 2
48 : Table 1 (11) => Table 2
49 : Table 1 (12) => Table 2
50 : Table 1 (0) => Table 3
51 : Table 1 (1) => Table 3
52 : Table 1 (2) => Table 3
53 : Table 1 (3) => Table 3
54 : Table 1 (4) => Table 3
55 : Table 1 (5) => Table 3
56 : Table 1 (6) => Table 3
57 : Table 1 (7) => Table 3
58 : Table 1 (8) => Table 3
59 : Table 1 (9) => Table 3
60 : Table 1 (10) => Table 3
61 : Table 1 (11) => Table 3
62 : Table 1 (12) => Table 3
63 : Table 1 (0) => Table 4
64 : Table 1 (1) => Table 4
65 : Table 1 (2) => Table 4
66 : Table 1 (3) => Table 4
67 : Table 1 (4) => Table 4
68 : Table 1 (5) => Table 4
69 : Table 1 (6) => Table 4
70 : Table 1 (7) => Table 4
71 : Table 1 (8) => Table 4
72 : Table 1 (9) => Table 4
73 : Table 1 (10) => Table 4
74 : Table 1 (11) => Table 4
75 : Table 1 (12) => Table 4
76 : Table 1 (0) => Table 5
77 : Table 1 (1) => Table 5
78 : Table 1 (2) => Table 5
79 : Table 1 (3) => Table 5
80 : Table 1 (4) => Table 5
81 : Table 1 (5) => Table 5
82 : Table 1 (6) => Table 5
83 : Table 1 (7) => Table 5
84 : Table 1 (8) => Table 5
85 : Table 1 (9) => Table 5
86 : Table 1 (10) => Table 5
87 : Table 1 (11) => Table 5
88 : Table 1 (12) => Table 5
89 : Table 1 (0) => Table 6
90 : Table 1 (1) => Table 6
91 : Table 1 (2) => Table 6
92 : Table 1 (3) => Table 6
93 : Table 1 (4) => Table 6
94 : Table 1 (5) => Table 6
95 : Table 1 (6) => Table 6
96 : Table 1 (7) => Table 6
97 : Table 1 (8) => Table 6
98 : Table 1 (9) => Table 6
99 : Table 1 (10) => Table 6
100 : Table 1 (11) => Table 6
101 : Table 1 (12) => Table 6
102 : Table 1 (0) => Table 7
103 : Table 1 (1) => Table 7
104 : Table 1 (2) => Table 7
105 : Table 1 (3) => Table 7
106 : Table 1 (4) => Table 7
107 : Table 1 (5) => Table 7
108 : Table 1 (6) => Table 7
109 : Table 1 (7) => Table 7
110 : Table 1 (8) => Table 7
111 : Table 1 (9) => Table 7
112 : Table 1 (10) => Table 7
113 : Table 1 (11) => Table 7
114 : Table 1 (12) => Table 7
115 : Table 2 (0) => Table 1
116 : Table 2 (1) => Table 1
117 : Table 2 (2) => Table 1
118 : Table 2 (3) => Table 1
119 : Table 2 (4) => Table 1
120 : Table 2 (5) => Table 1
121 : Table 2 (6) => Table 1
122 : Table 2 (7) => Table 1
123 : Table 2 (8) => Table 1
124 : Table 2 (9) => Table 1
125 : Table 2 (10) => Table 1
126 : Table 2 (11) => Table 1
127 : Table 2 (12) => Table 1
128 : Table 2 (0) => Table 3
129 : Table 2 (1) => Table 3
130 : Table 2 (2) => Table 3
131 : Table 2 (3) => Table 3
132 : Table 2 (4) => Table 3
133 : Table 2 (5) => Table 3
134 : Table 2 (6) => Table 3
135 : Table 2 (7) => Table 3
136 : Table 2 (8) => Table 3
137 : Table 2 (9) => Table 3
138 : Table 2 (10) => Table 3
139 : Table 2 (11) => Table 3
140 : Table 2 (12) => Table 3
141 : Table 2 (0) => Table 4
142 : Table 2 (1) => Table 4
143 : Table 2 (2) => Table 4
144 : Table 2 (3) => Table 4
